Vivado Simulator 2017.2
Time resolution is 1 ps
i=xxxx, x=xxxxxxxxxxxxxxxx, y=xxxxxxxxxxxxxxxx12868
i=1011, x=0000000000010110, y=000000000001011012868
i=1011, x=0000000000001011, y=000000000000101112868
i=1011, x=0000000000000101, y=000000000000010112868
i=1011, x=0000000000000010, y=000000000000001012868
i=1011, x=0000000000000001, y=000000000000000112868
i=1011, x=0000000000000000, y=000000000000000012868
i=1100, x=0010110101000001, y=001011010100001012868
i=1100, x=0001011010100000, y=000101101010000112868
i=1100, x=0000101101010000, y=000010110101000012868
i=1100, x=0000010110101000, y=000001011010100012868
i=1100, x=0000001011010100, y=000000101101010012868
i=1100, x=0000000101101010, y=000000010110101012868
i=1100, x=0000000010110101, y=000000001011010112868
i=1100, x=0000000001011010, y=000000000101101012868
i=1100, x=0000000000101101, y=000000000010110112868
i=1100, x=0000000000010110, y=000000000001011012868
i=1100, x=0000000000001011, y=000000000000101112868
i=1100, x=0000000000000101, y=000000000000010112868
i=1100, x=0000000000000010, y=000000000000001012868
i=1100, x=0000000000000001, y=000000000000000112868
i=1100, x=0000000000000000, y=000000000000000012868
i=1101, x=0010110101000011, y=001011010100000012868
